qblock_id,reads,k,seed,best_milli,median_milli,target_milli,winner_milli,reads_below_target,valid,beats_winner,wall_s,error
1000000,64,3,15883179758160990934,-14310000,-14266000,-14625068,0,0,0,1,2.288,
1000001,64,3,1205367994741420263,-14282000,-14216000,-14625068,0,0,0,1,2.393,
1000002,64,3,2680849160088835703,-14302000,-14236000,-14625068,0,0,0,1,2.298,
1000003,64,3,16371678430527573177,-14280000,-14218000,-14625068,0,0,0,1,2.313,
1000004,64,3,15437044232708127093,-14342000,-14266000,-14625068,0,0,0,1,2.227,
1000005,64,3,2523228022317245202,-14294000,-14208000,-14625068,0,0,0,1,2.292,
1000006,64,3,4719383623904491841,-14332000,-14274000,-14625068,0,0,0,1,2.29,
1000007,64,3,12015502795272720658,-14334000,-14260000,-14625068,0,0,0,1,2.281,
1000008,64,3,12410453111980641036,-14286000,-14214000,-14625068,0,0,0,1,2.233,
1000009,64,3,8913516724165684258,-14316000,-14244000,-14625068,0,0,0,1,2.289,
1000010,64,3,11679567499271334346,-14288000,-14228000,-14625068,0,0,0,1,2.262,
1000011,64,3,15036119948848189392,-14346000,-14256000,-14625068,0,0,0,1,2.219,
1000012,64,3,4857843555034720642,-14302000,-14222000,-14625068,0,0,0,1,2.326,
1000013,64,3,18110179804592014039,-14246000,-14190000,-14625068,0,0,0,1,2.309,
1000014,64,3,14495383227888064022,-14434000,-14358000,-14625068,0,0,0,1,2.334,
1000015,64,3,7077824331387152122,-14340000,-14250000,-14625068,0,0,0,1,2.346,
1000016,64,3,5538530745198199657,-14320000,-14248000,-14625068,0,0,0,1,2.294,
1000017,64,3,10683652881656910833,-14378000,-14312000,-14625068,0,0,0,1,2.309,
1000018,64,3,8370847831999682321,-14272000,-14204000,-14625068,0,0,0,1,2.43,
1000019,64,3,6581463889553706297,-14352000,-14260000,-14625068,0,0,0,1,2.323,
1000020,64,3,2504826365859827851,-14374000,-14282000,-14625068,0,0,0,1,2.28,
1000021,64,3,14740161010647808774,-14392000,-14322000,-14625068,0,0,0,1,2.258,
1000022,64,3,97712886324043404,-14218000,-14138000,-14625068,0,0,0,1,2.662,
1000023,64,3,10569019741655117684,-14242000,-14158000,-14625068,0,0,0,1,2.246,
1000024,64,3,11519108370038429094,-14358000,-14278000,-14625068,0,0,0,1,2.294,
1000025,64,3,2161846892737529919,-14332000,-14226000,-14625068,0,0,0,1,2.282,
1000026,64,3,9991549291717423821,-14424000,-14352000,-14625068,0,0,0,1,2.305,
1000027,64,3,10520048291456910066,-14218000,-14152000,-14625068,0,0,0,1,2.381,
1000028,64,3,14647245558359426013,-14274000,-14228000,-14625068,0,0,0,1,2.314,
