nonce,seed,best_256x65536,median_256x65536,below_256x65536
0,c52b75bd0bcf9219d2909973affb5bff73d7e657f6bbc1121da628d4cd3f253a,-14614000,-14570000,0
1,e224eec3ee0b03582b802a21cd6c6465ebbf1bdee270df8f54121dce1d78ef3b,-14598000,-14562000,0
2,87316bbc5ac736b62466a7b928c0ec39e821192e20dfcea9ab69661f3617636c,-14572000,-14542000,0
3,483bb51ae87c49c73e83dbc60e568647b83ba16a6a3acd8fcf97d31e4b1571c7,-14588000,-14542000,0
4,39394f579906351b0bc91ec33942c17a59d6b902b92a7ebfb51368c3ff902acb,-14560000,-14526000,0
5,f23b1202f50a2f5705a3ec6d2f1ed924031b79ea8b72f993f54961d3cdde6503,-14588000,-14542000,0
6,91a7fa523379a1c89e9638f343a1dddc33804ea8cb641101f3715e1f91f8102e,-14554000,-14518000,0
7,e027e897c925a2c4af0f6ce57ed52ec370dcb07a618f330ec8a16c4c8e00ce41,-14604000,-14558000,0
8,50f20ebde59b398eb47bea1c187106f043c2bddd178a994e074930b73f8da2f1,-14582000,-14536000,0
9,7044b31bfbbbdb69f83e2b148a42e13c85d619c028ba87d468e4ec65167d5a6d,-14562000,-14532000,0
10,2890baea91a9be2d08efdeeb72e6a3e2d690ff05d828af5f779ae40c2230af3b,-14570000,-14520000,0
11,5925f41b6f16788e53bbc7ca38e65bb0e5801cfc333d3840a420904d85677bbb,-14570000,-14532000,0
12,1fa84a9ad9499d568fdac95bcaeb9292fa0aad13407b90216fae4985e83a2a3d,-14596000,-14554000,0
13,8050a47dfa3f988f2138191a186a2bf4112245cf47af49eb150cfb2da07f18f7,-14566000,-14524000,0
14,38a13f4ad0b1d21a7a9090b12f4bbc9fdaef6c47d63f3b0a858028ac902eb184,-14560000,-14518000,0
15,301adce7effa23df042e5b10be620e555899c02d152d83bf6a4e42f89002ed4c,-14548000,-14516000,0
16,abe65deaf6af40dba6976903135693d3096dec17ee0f069093d75f127a404b24,-14560000,-14514000,0
17,a3c2c70898523488e685befac27f2c386d418c82788813a7afa2ea1d70108295,-14562000,-14528000,0
18,508a911551d39fa1443d1a9824df436f3ed87120a422f1110ef45ca7667300ee,-14566000,-14530000,0
19,d13b6f441609641ae6319ff7be64410205b68ae73800f80029827a26a1a61ec5,-14564000,-14530000,0
20,40e1cf97e7489fb8822e340a0a13f42b5fa6455a1f551659d35af5f48d57c438,-14576000,-14536000,0
21,64e0028e8cb6677ca47ce2b256dca71d5d1136ca0681dc473f8a739cebb0b297,-14558000,-14502000,0
22,d8e1a3f2fce53d5b1bd0b37f54c0f2187bd14de34a3c033e1974e2f7434bffb0,-14538000,-14500000,0
23,72a3f4195637715cb4d6e9f1837a6efd19289be6e51535c309388d9e5a678315,-14564000,-14514000,0
24,4c15e58e4bcaecd4660cd81ac8f4feacfe659ef6b8427b02b5e63f2178dc5f63,-14578000,-14528000,0
25,2ce42d2deff98124e434436d646d6fd38d0bd2849d40a5f0daec9c13b609c863,-14546000,-14512000,0
26,7e62ced6d53658503aa1c0407d8c0744f82ebec3b108b8dca5ec27537c785a05,-14556000,-14504000,0
27,27e27b80294c57e0237c814950bb7cb81b16ff8a96d24111f70e02e716d0d860,-14574000,-14530000,0
